t,water_temp_C,nitrate_mgL,turbidity_NTU,fdom_QSU,chl_a_ugL,do_sat_pct,ph,zoop_count
17.5905,22.66,0.582,13.8,41.9,20.3,79.25,7.86,105
19.4088,22.4,0.584,9.7,34.8,14.1,72.38,8.33,52
19.9697,24.39,0.596,10.7,31.1,15.6,62.98,8.15,44
20.1932,24.27,0.643,10.7,31.8,12.3,69.55,8.28,58
20.4949,23.27,0.602,14.8,32.0,14.3,76.38,8.07,55
20.7279,22.18,0.664,13.4,34.4,14.7,77.66,7.82,49
20.7779,22.7,0.628,12.9,35.3,13.6,78.96,7.85,45
21.2864,21.28,0.632,12.9,32.3,14.3,78.77,7.94,44
21.7440,21.15,0.609,14.5,31.2,17.6,80.18,7.95,37
22.2541,25.12,0.553,14.7,30.0,16.1,80.26,7.77,50
22.7213,22.6,0.621,17.8,29.5,15.6,80.61,7.81,39
23.0791,22.02,0.568,13.9,26.4,18.8,82.02,7.64,46
23.8222,21.19,0.671,8.8,26.4,18.4,77.61,7.47,34
24.8230,19.89,0.663,20.5,29.8,21.1,85.74,8.3,25
25.1764,20.75,0.736,17.7,27.1,18.1,83.5,8.2,36
25.7217,20.84,0.742,22.8,26.6,19.8,78.21,7.97,32
25.8967,22.02,0.715,19.7,26.1,22.0,82.99,7.96,34
26.8487,21.46,0.653,10.2,24.9,18.5,77.73,7.61,53
27.5157,21.49,0.69,16.3,23.2,18.4,79.89,7.58,57
27.9023,22.33,0.727,9.8,24.4,19.1,87.2,8.16,58
28.1845,25.91,0.744,7.2,24.5,22.3,87.95,8.01,63
28.3642,25.47,0.713,11.9,25.2,22.2,90.53,7.95,72
28.7309,24.17,0.748,15.4,30.2,23.7,85.75,8.1,75
29.1569,22.4,0.683,18.6,27.8,22.9,86.11,8.35,76
29.3878,22.34,0.689,17.7,31.4,25.3,86.02,8.55,66
30.3822,24.53,0.593,17.4,31.9,17.2,78.0,8.29,57
30.4548,23.45,0.623,15.2,32.8,19.9,71.32,8.23,71
32.9394,27.33,0.646,14.1,38.1,21.9,78.74,8.03,70
33.3238,22.91,0.657,13.0,35.3,18.0,84.92,8.38,59
34.3585,19.02,0.581,18.9,36.2,19.9,84.08,8.48,42
34.8573,17.9,0.554,19.9,33.5,20.8,87.89,8.04,65
35.0637,20.68,0.546,13.1,35.4,18.6,83.39,8.21,72
35.9471,21.84,0.461,13.6,32.6,11.1,89.02,7.86,26
38.1826,21.14,0.604,8.8,26.5,11.5,83.04,7.42,32
38.5714,21.23,0.611,14.2,25.1,17.0,82.79,7.39,26
38.6214,22.19,0.597,12.1,25.8,17.6,81.01,7.31,37
38.9904,21.56,0.555,9.0,28.0,19.3,75.12,7.56,49
39.1233,21.44,0.598,10.9,27.7,20.0,70.25,7.51,38
40.0374,20.81,0.566,16.1,30.3,14.2,66.85,7.8,37
40.1286,20.58,0.556,10.9,30.5,15.4,66.12,7.8,44
42.2005,20.26,0.653,14.2,29.8,14.3,79.28,7.7,32
42.7253,21.04,0.796,10.0,33.7,12.9,80.0,7.93,35
43.0134,20.64,0.763,12.8,33.8,14.2,77.93,7.65,26
43.8998,21.31,0.725,12.2,32.5,15.1,83.77,8.15,30
44.5824,18.47,0.72,6.6,34.0,19.2,81.06,7.95,32
45.8185,22.82,0.699,19.0,36.6,17.4,77.72,7.56,16
46.3130,24.99,0.682,12.2,39.1,21.6,86.68,7.71,48
47.4101,25.35,0.636,16.9,36.0,19.5,83.31,8.24,82
47.6540,24.56,0.655,18.4,36.4,21.5,76.47,8.29,88
48.0957,26.35,0.649,18.1,33.9,14.3,70.31,8.33,80
48.5533,25.44,0.555,20.5,36.1,13.0,63.28,7.93,72
48.8533,25.11,0.598,16.5,35.4,11.3,55.79,7.91,69
49.7468,23.99,0.681,15.7,36.6,11.3,64.25,7.57,61
49.9026,21.56,0.632,16.0,36.2,14.0,64.27,7.62,52
50.1494,20.84,0.631,20.5,37.6,13.8,71.31,7.58,51
50.4397,19.96,0.625,18.4,35.4,9.1,71.93,7.76,28
51.8281,19.23,0.661,11.4,36.8,9.6,73.2,7.64,22
52.4065,18.16,0.668,18.3,44.7,12.2,64.84,7.82,26
52.5613,18.57,0.648,17.6,43.1,12.8,61.11,7.83,15
53.3620,18.53,0.648,8.1,42.0,10.4,71.89,7.95,15
53.8729,18.37,0.677,12.5,42.9,9.8,75.5,7.73,19
55.1467,20.55,0.798,21.4,41.2,17.3,79.37,8.46,23
55.3653,21.06,0.773,18.3,37.9,16.5,74.42,8.51,25
55.4693,22.31,0.777,16.8,36.3,14.0,71.15,8.6,15
55.5236,22.83,0.778,19.3,36.9,16.5,68.52,8.65,33
55.8300,21.25,0.729,10.2,30.3,18.0,70.39,8.61,29
56.5006,21.4,0.657,9.9,30.2,13.9,79.16,7.75,25
57.1437,20.72,0.669,15.6,27.2,15.6,81.29,7.56,34
58.8718,21.82,0.694,12.8,32.9,11.9,79.91,7.46,33
59.8693,24.41,0.778,10.1,35.9,12.8,74.53,7.94,32
60.9634,21.09,0.663,15.8,34.4,20.1,76.74,8.26,29
